,Rx Time (sec),Rx ADC buffer (16 bit)
103,1.9757921695709229,1023
104,1.9946088790893555,1023
105,2.013413190841675,1023
106,2.0321762561798096,1022
107,2.051100015640259,1023
108,2.069918155670166,1023
109,2.0886380672454834,1022
110,2.1074931621551514,1023
111,2.126894235610962,1023
112,2.1457321643829346,1023
113,2.164541006088257,1023
114,2.18353009223938,1021
115,2.2041380405426025,1021
116,2.221173048019409,990
117,2.23989200592041,936
118,2.2582411766052246,884
119,2.277421236038208,840
120,2.2958102226257324,792
121,2.3146231174468994,735
122,2.3333640098571777,673
123,2.352260112762451,619
124,2.371127128601074,564
125,2.389940023422241,501
126,2.4087140560150146,421
127,2.4275310039520264,335
128,2.4463019371032715,268
129,2.465182065963745,206
130,2.483959197998047,146
131,2.503660202026367,92
132,2.521904230117798,36
133,2.541063070297241,0
134,2.559783935546875,0
135,2.5781681537628174,0
136,2.5977001190185547,0
137,2.615816116333008,0
138,2.634568929672241,0
139,2.6534290313720703,0
140,2.672244071960449,0
141,2.6909921169281006,0
142,2.709855079650879,0
143,2.728684186935425,0
144,2.7476003170013428,0
145,2.766350269317627,0
146,2.7851760387420654,0
147,2.804720878601074,0
148,2.8231539726257324,0
149,2.8421032428741455,0
150,2.8613200187683105,45
151,2.8794071674346924,111
152,2.8981971740722656,165
153,2.9173741340637207,208
154,2.9357309341430664,244
155,2.9545669555664062,281
156,2.9734370708465576,317
157,2.9924051761627197,351
158,3.011077880859375,381
159,3.030294179916382,409
160,3.0487771034240723,435
161,3.067606210708618,461
162,3.0863659381866455,495
163,3.1054000854492188,535
164,3.123975992202759,579
165,3.143718957901001,624
166,3.162368059158325,667
167,3.181162118911743,715
168,3.1993720531463623,760
169,3.2182071208953857,803
170,3.237013101577759,844
171,3.2558999061584473,885
172,3.274717092514038,928
173,3.2935192584991455,964
174,3.312272310256958,1002
175,3.331120252609253,1023
176,3.3498802185058594,1023
177,3.3687350749969482,1023
178,3.3876030445098877,1023
179,3.4063711166381836,1023
180,3.425173044204712,1023
181,3.444110155105591,1023
182,3.462908983230591,1023
183,3.4822092056274414,1023
184,3.501174211502075,1023
185,3.519848108291626,1023
186,3.5382192134857178,1022
187,3.557518243789673,1023
188,3.5759172439575195,1023
189,3.5946319103240967,1021
190,3.613919973373413,971
191,3.632317066192627,920
192,3.6512060165405273,846
193,3.6701161861419678,788
194,3.688852071762085,747
195,3.707641124725342,677
196,3.7264389991760254,598
197,3.7458550930023193,523
198,3.764813184738159,452
199,3.783604145050049,401
200,3.8034870624542236,351
201,3.8205959796905518,289
202,3.839539051055908,211
203,3.8584022521972656,136
204,3.877645254135132,74
205,3.895869016647339,17
206,3.914821147918701,0
207,3.9335622787475586,0
208,3.952385187149048,0
209,3.9712371826171875,0
210,3.9900481700897217,0
211,4.008875131607056,0
212,4.028146982192993,0
213,4.046586275100708,0
214,4.065451145172119,0
215,4.084227085113525,0
216,4.103066921234131,0
217,4.122792959213257,0
218,4.141569137573242,0
219,4.16076922416687,0
220,4.178747892379761,0
221,4.197482109069824,0
222,4.216032028198242,0
223,4.234896898269653,52
224,4.253665208816528,129
225,4.272597074508667,207
226,4.291325092315674,286
227,4.3101818561553955,343
228,4.3290181159973145,391
229,4.347930192947388,435
230,4.366671085357666,487
231,4.385524034500122,545
232,4.40444016456604,593
233,4.423769235610962,645
234,4.442048072814941,697
235,4.4615843296051025,745
236,4.479732990264893,783
237,4.498544216156006,821
238,4.517689228057861,859
239,4.536155939102173,896
240,4.554947137832642,933
241,4.573737144470215,965
242,4.5926830768585205,995
243,4.611426115036011,1019
244,4.630230188369751,1023
245,4.649018287658691,1023
246,4.66792106628418,1023
247,4.687704086303711,1023
248,4.705563068389893,1023
249,4.7253241539001465,1023
250,4.743896245956421,1023
251,4.76226806640625,1023
252,4.78270697593689,1020
253,4.799897193908691,1023
254,4.818947076797485,1023
255,4.837713956832886,1023
256,4.856168985366821,1022
257,4.874977111816406,1022
258,4.893928050994873,1023
259,4.912657022476196,980
260,4.931511163711548,876
261,4.950289011001587,815
262,4.969189882278442,751
263,4.988073110580444,667
264,5.007282018661499,594
265,5.026369094848633,515
266,5.045386075973511,431
267,5.063428163528442,355
268,5.082802057266235,272
269,5.100970029830933,192
270,5.119798183441162,121
271,5.1385722160339355,62
272,5.1576011180877686,9
273,5.1763222217559814,0
274,5.195004940032959,0
275,5.2141499519348145,0
276,5.23271918296814,0
277,5.251512050628662,0
278,5.270379066467285,0
279,5.289259195327759,0
280,5.307993173599243,0
281,5.326823949813843,0
282,5.345663070678711,0
283,5.364452123641968,0
284,5.384027004241943,0
285,5.402742147445679,0
286,5.420944929122925,0
287,5.440900087356567,0
288,5.458597183227539,0
289,5.477914094924927,0
290,5.496350049972534,80
291,5.515121936798096,169
292,5.533951997756958,269
293,5.5526511669158936,347
294,5.571551084518433,405
295,5.590616226196289,459
296,5.609194993972778,509
297,5.6280601024627686,563
298,5.646904230117798,612
299,5.666015148162842,657
300,5.685474157333374,701
301,5.704134941101074,750
302,5.72271203994751,794
303,5.74165415763855,835
304,5.760742902755737,877
305,5.785410165786743,935
306,5.797459125518799,981
307,5.816322088241577,1019
308,5.835123062133789,1023
309,5.854001998901367,1022
310,5.872727155685425,1023
311,5.891542196273804,1022
312,5.910415172576904,1023
313,5.929257154464722,1023
314,5.948014259338379,1023
315,5.9669411182403564,1021
316,5.985750198364258,1023
317,6.004598140716553,1023
318,6.024248123168945,1023
319,6.0426530838012695,1023
320,6.062755107879639,1023
321,6.080071926116943,1023
322,6.098712205886841,1022
323,6.117808103561401,1023
324,6.136314153671265,1021
325,6.15523099899292,995
326,6.173933029174805,936
327,6.19284200668335,871
328,6.211642265319824,835
329,6.230440139770508,795
330,6.2492711544036865,743
331,6.26804518699646,675
332,6.287201166152954,604
333,6.305833101272583,535
334,6.324602127075195,474
335,6.344280242919922,410
336,6.362253189086914,320
337,6.3820741176605225,216
338,6.399875164031982,126
339,6.418797254562378,57
340,6.437648296356201,1
341,6.45639705657959,0
342,6.477605104446411,0
343,6.494051218032837,0
344,6.512837171554565,0
345,6.531620264053345,0
346,6.550430059432983,0
347,6.569319009780884,0
348,6.588418245315552,0
349,6.606914043426514,0
350,6.6257500648498535,0
351,6.644849061965942,0
352,6.664113998413086,0
353,6.682758092880249,0
354,6.702042102813721,0
355,6.720030069351196,0
356,6.7388060092926025,49
357,6.75770115852356,107
358,6.776457071304321,155
359,6.795255184173584,200
360,6.814117908477783,247
361,6.832878112792969,293
362,6.851644039154053,342
363,6.870512962341309,377
364,6.889291048049927,414
365,6.908123970031738,448
366,6.927124977111816,476
367,6.946310997009277,504
368,6.964831113815308,541
369,6.9845499992370605,585
370,7.003821134567261,635
371,7.02752423286438,683
372,7.039912939071655,736
373,7.058775186538696,779
374,7.07780909538269,823
375,7.096408128738403,863
376,7.115215301513672,894
377,7.134104251861572,923
378,7.152875185012817,941
379,7.171733140945435,960
380,7.190552234649658,974
381,7.209319114685059,991
382,7.2281670570373535,1015
383,7.248094081878662,1023
384,7.265850305557251,1022
385,7.286153078079224,1022
386,7.303576231002808,1023
387,7.322300910949707,1023
388,7.34106707572937,1023
389,7.35999321937561,1023
390,7.378921985626221,1020
391,7.397819995880127,1023
392,7.416430234909058,1022
393,7.435281038284302,1023
394,7.4541521072387695,1023
395,7.472969055175781,1023
396,7.4917073249816895,1023
397,7.510577917098999,1023
398,7.52942419052124,1023
399,7.54822301864624,1023
400,7.567045211791992,997
401,7.585892200469971,920
402,7.60553503036499,857
403,7.6243462562561035,817
404,7.643304109573364,776
405,7.661218166351318,731
406,7.680049896240234,697
407,7.69901704788208,655
408,7.717694997787476,615
409,7.736473083496094,579
410,7.755264043807983,534
411,7.77416205406189,485
412,7.793110132217407,437
413,7.811742067337036,383
414,7.830683946609497,340
415,7.8494579792022705,297
416,7.868221044540405,256
417,7.8870720863342285,214
418,7.905857086181641,155
419,7.9249491691589355,85
420,7.944409132003784,24
421,7.963079929351807,0
422,7.981203079223633,0
423,8.00011920928955,0
424,8.029400110244751,0
425,8.037816047668457,0
426,8.056584119796753,0
427,8.0753653049469,0
428,8.09420919418335,0
429,8.11298418045044,0
430,8.131801128387451,0
431,8.150614023208618,0
432,8.169402122497559,0
433,8.18826413154602,0
434,8.207136154174805,0
435,8.226714849472046,0
436,8.2448410987854,0
437,8.264414072036743,52
438,8.282763004302979,104
439,8.301244020462036,171
440,8.320022106170654,226
441,8.338932991027832,270
442,8.357748031616211,313
443,8.376533031463623,354
444,8.395387887954712,380
445,8.414112091064453,412
446,8.43301510810852,451
447,8.451877117156982,496
448,8.470667123794556,535
449,8.489518165588379,579
450,8.508271217346191,629
451,8.527135133743286,680
452,8.545902252197266,735
453,8.56562614440918,788
454,8.584169149398804,835
455,8.603028059005737,883
456,8.624117136001587,926
457,8.640459060668945,967
458,8.658920049667358,999
459,8.677646160125732,1019
460,8.696507215499878,1023
461,8.715374231338501,1023
462,8.734225034713745,1023
463,8.752969980239868,1022
464,8.771981239318848,1023
465,8.790797233581543,1020
466,8.809406042098999,1023
467,8.828272104263306,1023
468,8.847159147262573,1023
469,8.865885019302368,1023
470,8.885242223739624,1020
471,8.904543161392212,1004
472,8.922698020935059,929
473,8.941210269927979,836
474,8.960865020751953,789
475,8.979019165039062,753
476,8.997764110565186,727
477,9.016805171966553,699
478,9.03537106513977,666
479,9.054266214370728,628
480,9.072958946228027,579
481,9.091846942901611,524
482,9.110755205154419,474
483,9.129455089569092,409
484,9.14833688735962,337
485,9.167211055755615,265
486,9.18655514717102,198
487,9.204752922058105,148
488,9.22368597984314,97
489,9.243211030960083,44
490,9.261287927627563,0
491,9.280303239822388,0
492,9.298917293548584,0
493,9.317808866500854,0
494,9.336620092391968,0
495,9.35538101196289,0
496,9.374161005020142,0
497,9.393075942993164,0
498,9.411837100982666,0
499,9.430692195892334,0
500,9.449443101882935,0
501,9.468252897262573,0
502,9.489489078521729,0
503,9.505914211273193,0
504,9.52553105354309,0
505,9.543750047683716,35
506,9.562963962554932,86
507,9.581938028335571,147
508,9.600067138671875,215
509,9.61898922920227,277
510,9.637752056121826,340
511,9.656617164611816,367
512,9.675413131713867,402
513,9.694190263748169,441
514,9.71299409866333,489
515,9.731887102127075,537
516,9.750747919082642,582
517,9.769447088241577,629
518,9.788329124450684,668
519,9.80728030204773,713
520,9.82603406906128,751
521,9.844835042953491,789
522,9.863667964935303,823
523,9.882474184036255,861
524,9.901280164718628,894
525,9.9201180934906,933
526,9.938927173614502,959
527,9.957818269729614,975
528,9.976639032363892,983
529,9.995458126068115,992
530,10.014617204666138,997
