,Rx Time (sec),Rx ADC Voltage (Volts)
165,3.143718957901001,1.98046875
166,3.162368059158325,2.116943359375
167,3.181162118911743,2.269287109375
168,3.1993720531463623,2.412109375
169,3.2182071208953857,2.548583984375
170,3.237013101577759,2.6787109375
171,3.2558999061584473,2.808837890625
172,3.274717092514038,2.9453125
173,3.2935192584991455,3.0595703125
174,3.312272310256958,3.18017578125
175,3.331120252609253,3.246826171875
176,3.3498802185058594,3.246826171875
177,3.3687350749969482,3.246826171875
178,3.3876030445098877,3.246826171875
179,3.4063711166381836,3.246826171875
180,3.425173044204712,3.246826171875
181,3.444110155105591,3.246826171875
182,3.462908983230591,3.246826171875
183,3.4822092056274414,3.246826171875
184,3.501174211502075,3.246826171875
185,3.519848108291626,3.246826171875
186,3.5382192134857178,3.24365234375
187,3.557518243789673,3.246826171875
188,3.5759172439575195,3.246826171875
189,3.5946319103240967,3.240478515625
190,3.613919973373413,3.081787109375
191,3.632317066192627,2.919921875
192,3.6512060165405273,2.68505859375
193,3.6701161861419678,2.5009765625
194,3.688852071762085,2.370849609375
195,3.707641124725342,2.148681640625
196,3.7264389991760254,1.89794921875
197,3.7458550930023193,1.659912109375
198,3.764813184738159,1.4345703125
199,3.783604145050049,1.272705078125
200,3.8034870624542236,1.114013671875
201,3.8205959796905518,0.917236328125
202,3.839539051055908,0.669677734375
203,3.8584022521972656,0.431640625
204,3.877645254135132,0.23486328125
205,3.895869016647339,0.053955078125
206,3.914821147918701,0.0
207,3.9335622787475586,0.0
208,3.952385187149048,0.0
209,3.9712371826171875,0.0
210,3.9900481700897217,0.0
211,4.008875131607056,0.0
212,4.028146982192993,0.0
213,4.046586275100708,0.0
214,4.065451145172119,0.0
215,4.084227085113525,0.0
216,4.103066921234131,0.0
217,4.122792959213257,0.0
218,4.141569137573242,0.0
219,4.16076922416687,0.0
220,4.178747892379761,0.0
221,4.197482109069824,0.0
222,4.216032028198242,0.0
223,4.234896898269653,0.1650390625
224,4.253665208816528,0.409423828125
225,4.272597074508667,0.656982421875
226,4.291325092315674,0.90771484375
227,4.3101818561553955,1.088623046875
228,4.3290181159973145,1.240966796875
229,4.347930192947388,1.380615234375
230,4.366671085357666,1.545654296875
231,4.385524034500122,1.729736328125
232,4.40444016456604,1.882080078125
233,4.423769235610962,2.047119140625
234,4.442048072814941,2.212158203125
235,4.4615843296051025,2.364501953125
236,4.479732990264893,2.485107421875
237,4.498544216156006,2.605712890625
238,4.517689228057861,2.726318359375
239,4.536155939102173,2.84375
240,4.554947137832642,2.961181640625
241,4.573737144470215,3.062744140625
242,4.5926830768585205,3.157958984375
243,4.611426115036011,3.234130859375
244,4.630230188369751,3.246826171875
245,4.649018287658691,3.246826171875
246,4.66792106628418,3.246826171875
247,4.687704086303711,3.246826171875
248,4.705563068389893,3.246826171875
249,4.7253241539001465,3.246826171875
250,4.743896245956421,3.246826171875
251,4.76226806640625,3.246826171875
252,4.78270697593689,3.2373046875
253,4.799897193908691,3.246826171875
254,4.818947076797485,3.246826171875
255,4.837713956832886,3.246826171875
256,4.856168985366821,3.24365234375
257,4.874977111816406,3.24365234375
258,4.893928050994873,3.246826171875
259,4.912657022476196,3.1103515625
260,4.931511163711548,2.7802734375
261,4.950289011001587,2.586669921875
262,4.969189882278442,2.383544921875
263,4.988073110580444,2.116943359375
264,5.007282018661499,1.88525390625
265,5.026369094848633,1.634521484375
266,5.045386075973511,1.367919921875
267,5.063428163528442,1.126708984375
268,5.082802057266235,0.86328125
269,5.100970029830933,0.609375
270,5.119798183441162,0.384033203125
271,5.1385722160339355,0.19677734375
272,5.1576011180877686,0.028564453125
273,5.1763222217559814,0.0
274,5.195004940032959,0.0
275,5.2141499519348145,0.0
